,Date,Price,Open,High,Low,Vol.,Change %
130,"Jul 23, 2019","1,139.56","1,143.01","1,144.44","1,135.51",1.47B,-0.10%
131,"Jul 22, 2019","1,140.67","1,145.21","1,147.59","1,137.71",1.48B,-0.63%
132,"Jul 19, 2019","1,147.90","1,149.21","1,150.79","1,145.27",1.31B,0.66%
133,"Jul 18, 2019","1,140.37","1,135.95","1,142.74","1,135.51",1.04B,0.14%
134,"Jul 17, 2019","1,138.76","1,140.72","1,144.84","1,137.97",1.26B,-0.34%
135,"Jul 15, 2019","1,142.60","1,144.34","1,149.35","1,140.69",1.19B,-0.04%
136,"Jul 12, 2019","1,143.08","1,153.51","1,154.76","1,140.54",1.80B,-0.62%
137,"Jul 11, 2019","1,150.20","1,155.86","1,157.57","1,148.28",1.87B,-0.08%
138,"Jul 10, 2019","1,151.09","1,140.75","1,153.02","1,138.06",1.74B,1.27%
139,"Jul 09, 2019","1,136.68","1,142.44","1,146.49","1,136.56",1.38B,-0.78%
140,"Jul 08, 2019","1,145.56","1,144.61","1,148.53","1,140.27",1.08B,-0.24%
141,"Jul 05, 2019","1,148.28","1,144.47","1,149.17","1,140.05",1.13B,0.37%
142,"Jul 04, 2019","1,144.08","1,156.88","1,161.21","1,137.41",1.89B,-0.93%
143,"Jul 03, 2019","1,154.77","1,153.27","1,158.18","1,149.73",1.24B,0.19%
144,"Jul 02, 2019","1,152.63","1,157.02","1,160.16","1,150.52",1.22B,-0.62%
145,"Jul 01, 2019","1,159.79","1,162.32","1,164.72","1,158.28",1.38B,0.78%
146,"Jun 28, 2019","1,150.85","1,152.10","1,155.09","1,149.82",1.31B,-0.13%
147,"Jun 27, 2019","1,152.36","1,148.90","1,155.69","1,147.71",1.18B,0.63%
148,"Jun 26, 2019","1,145.17","1,141.80","1,146.91","1,139.77",1.25B,-0.05%
149,"Jun 25, 2019","1,145.73","1,141.48","1,149.38","1,135.08",1.57B,0.33%
150,"Jun 24, 2019","1,141.98","1,146.84","1,148.18","1,139.73",1.14B,-0.04%
151,"Jun 21, 2019","1,142.46","1,147.97","1,152.44","1,140.21",2.11B,-0.19%
152,"Jun 20, 2019","1,144.64","1,139.15","1,148.56","1,135.93",1.84B,0.83%
153,"Jun 19, 2019","1,135.23","1,125.76","1,140.20","1,123.18",2.28B,1.59%
154,"Jun 18, 2019","1,117.49","1,103.10","1,117.74","1,101.70",1.40B,1.25%
155,"Jun 17, 2019","1,103.64","1,108.37","1,112.02","1,103.20",1.90B,-0.34%
156,"Jun 14, 2019","1,107.36","1,108.14","1,110.51","1,103.08",1.32B,-0.17%
157,"Jun 13, 2019","1,109.23","1,106.55","1,111.42","1,101.08",1.33B,0.09%
158,"Jun 12, 2019","1,108.20","1,107.08","1,109.40","1,103.78",1.16B,-0.03%
159,"Jun 11, 2019","1,108.53","1,104.75","1,112.21","1,101.76",1.20B,0.47%
160,"Jun 10, 2019","1,103.29","1,101.87","1,105.70","1,101.00",932.33M,0.71%
161,"Jun 07, 2019","1,095.52","1,099.81","1,100.88","1,093.35",642.84M,-0.15%
162,"Jun 06, 2019","1,097.14","1,095.07","1,099.20","1,090.42",950.28M,0.15%
163,"Jun 05, 2019","1,095.47","1,095.81","1,098.76","1,091.34",1.27B,0.68%
164,"Jun 04, 2019","1,088.03","1,078.64","1,090.70","1,076.83",1.35B,1.22%
165,"May 31, 2019","1,074.87","1,075.79","1,081.32","1,068.07",1.04B,-0.18%
166,"May 30, 2019","1,076.85","1,074.92","1,082.52","1,074.34",762.65M,0.18%
167,"May 29, 2019","1,074.89","1,084.46","1,085.27","1,073.94",993.65M,-0.89%
168,"May 28, 2019","1,084.58","1,081.99","1,085.97","1,074.68",4.22B,0.52%
169,"May 27, 2019","1,078.98","1,075.76","1,082.64","1,070.97",1.00B,0.64%
170,"May 24, 2019","1,072.13","1,065.77","1,075.63","1,061.58",1.18B,0.15%
171,"May 23, 2019","1,070.49","1,079.21","1,082.57","1,069.03",1.01B,-1.16%
172,"May 22, 2019","1,083.04","1,076.35","1,084.22","1,076.22",963.76M,1.07%
173,"May 21, 2019","1,071.60","1,069.54","1,076.75","1,065.17",1.15B,0.29%
174,"May 17, 2019","1,068.45","1,076.63","1,079.39","1,067.11",961.26M,-0.45%
175,"May 16, 2019","1,073.25","1,080.09","1,082.52","1,067.37",1.30B,-0.50%
176,"May 15, 2019","1,078.60","1,088.71","1,091.29","1,078.60",1.14B,-0.74%
177,"May 14, 2019","1,086.59","1,084.42","1,090.67","1,083.06",1.46B,-0.34%
178,"May 13, 2019","1,090.33","1,095.02","1,097.70","1,085.68",1.12B,-0.46%
179,"May 10, 2019","1,095.38","1,099.23","1,100.90","1,088.38",1.00B,0.22%
180,"May 09, 2019","1,092.97","1,098.06","1,103.02","1,092.17",1.01B,-0.52%
181,"May 08, 2019","1,098.65","1,103.34","1,104.89","1,096.63",1.55B,-0.92%
182,"May 07, 2019","1,108.83","1,109.09","1,113.37","1,105.92",1.18B,-0.66%
183,"May 03, 2019","1,116.18","1,113.68","1,118.65","1,113.14",892.94M,-0.01%
184,"May 02, 2019","1,116.30","1,115.35","1,119.20","1,114.16",845.38M,0.35%
185,"Apr 30, 2019","1,112.39","1,107.22","1,114.83","1,106.88",935.99M,0.52%
186,"Apr 29, 2019","1,106.62","1,106.03","1,108.96","1,103.42",1.05B,-0.11%
187,"Apr 26, 2019","1,107.88","1,112.74","1,113.63","1,104.35",853.18M,-0.45%
188,"Apr 25, 2019","1,112.93","1,113.17","1,116.96","1,110.86",630.77M,-0.07%
189,"Apr 24, 2019","1,113.76","1,114.28","1,116.50","1,109.29",925.83M,0.22%
190,"Apr 23, 2019","1,111.33","1,113.99","1,117.15","1,110.61",872.31M,-0.15%
191,"Apr 22, 2019","1,113.03","1,115.90","1,121.14","1,113.03",985.84M,-0.01%
192,"Apr 19, 2019","1,113.14","1,113.56","1,117.38","1,110.82",727.34M,-0.08%
193,"Apr 18, 2019","1,114.04","1,113.60","1,116.32","1,108.10",1.09B,0.14%
194,"Apr 17, 2019","1,112.52","1,108.99","1,116.23","1,107.05",1.08B,0.64%
195,"Apr 12, 2019","1,105.42","1,104.12","1,107.26","1,100.85",929.84M,-0.01%
196,"Apr 11, 2019","1,105.48","1,107.78","1,108.78","1,103.44",1.20B,-0.30%
197,"Apr 10, 2019","1,108.81","1,106.61","1,111.38","1,105.40",1.14B,0.31%
198,"Apr 09, 2019","1,105.37","1,099.88","1,107.62","1,097.82",859.00M,0.84%
199,"Apr 05, 2019","1,096.13","1,095.86","1,099.59","1,093.14",694.00M,0.13%
200,"Apr 04, 2019","1,094.76","1,098.39","1,099.27","1,090.64",787.68M,-0.34%
201,"Apr 03, 2019","1,098.51","1,101.29","1,102.19","1,095.17",1.06B,-0.16%
202,"Apr 02, 2019","1,100.22","1,099.87","1,103.24","1,096.85",824.96M,0.47%
203,"Apr 01, 2019","1,095.08","1,095.81","1,100.65","1,094.29",1.07B,0.38%
204,"Mar 29, 2019","1,090.94","1,092.50","1,095.49","1,087.75",731.05M,0.24%
205,"Mar 28, 2019","1,088.36","1,082.11","1,091.44","1,081.27",899.80M,0.27%
206,"Mar 27, 2019","1,085.46","1,087.86","1,089.86","1,080.41",739.85M,-0.28%
207,"Mar 26, 2019","1,088.47","1,083.40","1,090.34","1,080.50",882.93M,0.50%
208,"Mar 25, 2019","1,083.05","1,087.35","1,091.73","1,076.70",1.01B,-1.44%
209,"Mar 22, 2019","1,098.85","1,089.77","1,099.31","1,087.54",1.02B,1.05%
210,"Mar 21, 2019","1,087.41","1,085.73","1,092.41","1,085.30",954.44M,0.50%
211,"Mar 20, 2019","1,081.97","1,085.18","1,088.68","1,081.30",844.33M,-0.21%
212,"Mar 19, 2019","1,084.30","1,074.91","1,086.93","1,074.15",721.88M,0.90%
213,"Mar 18, 2019","1,074.63","1,082.45","1,083.96","1,070.63",920.41M,-0.50%
214,"Mar 15, 2019","1,080.01","1,087.68","1,089.48","1,079.72",1.00B,-0.65%
215,"Mar 14, 2019","1,087.12","1,091.11","1,092.14","1,085.83",856.37M,-0.18%
216,"Mar 13, 2019","1,089.10","1,078.20","1,089.10","1,075.67",1.03B,0.89%
217,"Mar 12, 2019","1,079.46","1,082.75","1,084.82","1,077.43",1.26B,0.01%
